value,activity_id,administrative_classification_id,date_id,economic_classification_id,fin_source_id,functional_classification_id
7000,101,10,1,30,1,1
2000,101,10,2,30,1,1
2000,101,10,3,30,1,1
197710,61,11,1,6,1,8
20000,61,11,2,6,1,8
20000,61,11,3,6,1,8
42415,61,11,1,8,1,8
,61,11,2,8,1,8
,61,11,3,8,1,8
500000,61,11,1,16,1,8
,61,11,2,16,1,8
,61,11,3,16,1,8
500000,61,11,1,17,1,8
,61,11,2,17,1,8
,61,11,3,17,1,8
30463000,61,11,1,21,1,8
32319500,61,11,2,21,1,8
32819500,61,11,3,21,1,8
104375,61,11,1,34,1,8
,61,11,2,34,1,8
,61,11,3,34,1,8
816000,62,11,1,1,1,8
816000,62,11,2,1,1,8
821000,62,11,3,1,1,8
15000,62,11,1,2,1,8
8000,62,11,2,2,1,8
12000,62,11,3,2,1,8
143000,62,11,1,3,1,8
141000,62,11,2,3,1,8
142000,62,11,3,3,1,8
42500,62,11,1,4,1,8
42500,62,11,2,4,1,8
42500,62,11,3,4,1,8
15200,62,11,1,5,1,8
15200,62,11,2,5,1,8
15200,62,11,3,5,1,8
31600,62,11,1,6,1,8
27600,62,11,2,6,1,8
27600,62,11,3,6,1,8
5100,62,11,1,8,1,8
3100,62,11,2,8,1,8
3100,62,11,3,8,1,8
210,62,11,1,11,1,8
210,62,11,2,11,1,8
210,62,11,3,11,1,8
11500,62,11,1,30,1,8
2000,62,11,2,30,1,8
2000,62,11,3,30,1,8
5000,62,11,1,5,7,8
500,62,11,2,5,7,8
500,62,11,3,5,7,8
45000,63,11,1,7,1,8
45000,63,11,2,7,1,8
45000,63,11,3,7,1,8
298000,63,11,1,8,1,8
288000,63,11,2,8,1,8
288000,63,11,3,8,1,8
16000,64,11,1,28,1,8
16000,64,11,2,28,1,8
16000,64,11,3,28,1,8
14000,64,11,1,30,1,8
3000,64,11,2,30,1,8
3000,64,11,3,30,1,8
2244000,602,12,1,1,1,1
2384000,602,12,2,1,1,1
2396000,602,12,3,1,1,1
43250,602,12,1,2,1,1
31500,602,12,2,2,1,1
41000,602,12,3,2,1,1
386750,602,12,1,3,1,1
411000,602,12,2,3,1,1
413000,602,12,3,3,1,1
138000,602,12,1,4,1,1
100000,602,12,2,4,1,1
100000,602,12,3,4,1,1
32200,602,12,1,5,1,1
32200,602,12,2,5,1,1
32200,602,12,3,5,1,1
30000,602,12,1,6,1,1
28000,602,12,2,6,1,1
38500,602,12,3,6,1,1
4100,602,12,1,8,1,1
4100,602,12,2,8,1,1
5100,602,12,3,8,1,1
210,602,12,1,11,1,1
210,602,12,2,11,1,1
210,602,12,3,11,1,1
2500,602,12,1,30,1,1
2500,602,12,2,30,1,1
2500,602,12,3,30,1,1
40000,603,12,1,6,2,1
,603,12,2,6,2,1
,603,12,3,6,2,1
340000,603,12,1,6,11,1
,603,12,2,6,11,1
,603,12,3,6,11,1
23000,604,12,1,28,1,1
23000,604,12,2,28,1,1
23000,604,12,3,28,1,1
75000,604,12,1,30,1,1
5000,604,12,2,30,1,1
5000,604,12,3,30,1,1
16825000,65,13,1,1,1,1
16860000,65,13,2,1,1,1
16860000,65,13,3,1,1,1
894672,65,13,1,2,1,1
492595,65,13,2,2,1,1
482595,65,13,3,2,1,1
2862650,65,13,1,3,1,1
2902000,65,13,2,3,1,1
2902000,65,13,3,3,1,1
1661500,65,13,1,4,1,1
1790000,65,13,2,4,1,1
1790000,65,13,3,4,1,1
2187900,65,13,1,5,1,1
2430000,65,13,2,5,1,1
2430000,65,13,3,5,1,1
3638600,65,13,1,6,1,1
3754000,65,13,2,6,1,1
3754000,65,13,3,6,1,1
91000,65,13,1,8,1,1
218000,65,13,2,8,1,1
218000,65,13,3,8,1,1
14300,65,13,1,11,1,1
4300,65,13,2,11,1,1
4300,65,13,3,11,1,1
19000,65,13,1,20,1,1
20000,65,13,2,20,1,1
20000,65,13,3,20,1,1
200250,65,13,1,30,1,1
265000,65,13,2,30,1,1
265000,65,13,3,30,1,1
3000000,65,13,1,5,7,1
3000000,65,13,2,5,7,1
3000000,65,13,3,5,7,1
60000,65,13,1,7,12,1
,65,13,2,7,12,1
,65,13,3,7,12,1
70500,66,13,1,2,1,1
500,66,13,2,2,1,1
